,SYMBOL,NAME OF COMPANY
1852,VOLTAS,Voltas Limited
1853,VRLLOG,VRL Logistics Limited
1854,VSSL,Vardhman Special Steels Limited
1855,VSTIND,VST Industries Limited
1856,VSTTILLERS,V.S.T Tillers Tractors Limited
1857,VTL,Vardhman Textiles Limited
1858,WABAG,VA Tech Wabag Limited
1859,WALCHANNAG,Walchandnagar Industries Limited
1860,WANBURY,Wanbury Limited
1861,WATERBASE,Waterbase Limited
1862,WEALTH,Wealth First Portfolio Managers Limited
1863,WEBELSOLAR,Websol Energy System Limited
1864,WEIZMANIND,Weizmann Limited
1865,WEL,Wonder Electricals Limited
1866,WELCORP,Welspun Corp Limited
1867,WELENT,Welspun Enterprises Limited
1868,WELINV,Welspun Investments and Commercials Limited
1869,WELSPUNIND,Welspun India Limited
1870,WENDT,Wendt (India) Limited
1871,WESTLIFE,WESTLIFE FOODWORLD LIMITED
1872,WEWIN,WE WIN LIMITED
1873,WHEELS,Wheels India Limited
1874,WHIRLPOOL,Whirlpool of India Limited
1875,WILLAMAGOR,Williamson Magor & Company Limited
1876,WINDLAS,Windlas Biotech Limited
1877,WINDMACHIN,Windsor Machines Limited
1878,WIPL,The Western India Plywoods Limited
1879,WIPRO,Wipro Limited
1880,WOCKPHARMA,Wockhardt Limited
1881,WONDERLA,Wonderla Holidays Limited
1882,WORTH,Worth Peripherals Limited
1883,WSI,W S Industries (I) Limited
1884,WSTCSTPAPR,West Coast Paper Mills Limited
1885,XCHANGING,Xchanging Solutions Limited
1886,XELPMOC,Xelpmoc Design And Tech Limited
1887,XPROINDIA,Xpro India Limited
1888,YAARI,Yaari Digital Integrated Services Limited
1889,YESBANK,Yes Bank Limited
1890,YUKEN,Yuken India Limited
1891,ZEEL,Zee Entertainment Enterprises Limited
1892,ZEELEARN,Zee Learn Limited
1893,ZEEMEDIA,Zee Media Corporation Limited
1894,ZENITHEXPO,Zenith Exports Limited
1895,ZENITHSTL,Zenith Steel Pipes & Industries Limited
1896,ZENSARTECH,Zensar Technologies Limited
1897,ZENTEC,Zen Technologies Limited
1898,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
1899,ZIMLAB,Zim Laboratories Limited
1900,ZODIAC,Zodiac Energy Limited
1901,ZODIACLOTH,Zodiac Clothing Company Limited
1902,ZOMATO,Zomato Limited
1903,ZOTA,Zota Health Care LImited
1904,ZUARI,Zuari Agro Chemicals Limited
1905,ZUARIIND,ZUARI INDUSTRIES LIMITED
1906,ZYDUSLIFE,Zydus Lifesciences Limited
1907,ZYDUSWELL,Zydus Wellness Limited
